date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:04	57912/57912	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	677/677	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	675/675	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Dec%202020%2007:27:18%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	7/7	---M--	200	added ('OK')	application/javascript	date:Fri,%2015%20Oct%202021%2008:10:06%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.21	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min365c.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:05	303784/303784	---MC-	200	added ('OK')	application/rss+xml	etag:%22ebb31b8de0efa13af5f2c1fbbf307717%22	https://template-kit.rootlayers.com/campusa/template-kit/feed/	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/template-kit/feed/index.html	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:06	15055/15055	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2005:21:28%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.3.1	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min3d36.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:06	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2006%20Aug%202021%2009:21:23%20GMT	https://template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-includes/js/jquery/jquery.minaf6c.js	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:06	2659/2659	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2011:48:44%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/logo-3.png	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/logo-3.png	(from https://template-kit.rootlayers.com/campusa/template-kit/)
13:23:07	53305/53305	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Sep%202021%2008:14:02%20GMT	https://template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/13-cover.jpg	D:/Gems/mbaallwebsite/template-kit.rootlayers.com/campusa/wp-content/uploads/sites/31/2021/09/13-cover.jpg	(from https://template-kit.rootlayers.com/campusa/template-kit/)
